demo_id,participant,group,physical_demand,temporal_demand,controllability,performance,mental_demand,effort,frustration,subjective_score,data_folder,gracefulness,smoothness,clutch_times_L,clutch_times_R,total_distance,total_time,gracefulness_score,smoothness_score,clutch_times_score,total_distance_score,total_time_score,objective_total,total_score,subjective_score_norm,objective_total_norm,total_score_norm
71,zym,fixed,6.8,6.0,7.0,6.3,8.0,6.8,7.4,33.5,71_data_04-03,3.086526261987163,5.9729386103101545,1.0,1.0,0.25117420463205753,22.319024801254272,3.1891228966880614,0.03382673711230688,20.0,14.88257953679425,11.072390079498291,49.17791925009291,41.339,5.407319952774496,32.81561820182786,13.147679979011889
72,zym,fixed,6.5,6.8,6.5,6.0,7.6,7.3,6.7,35.4,72_data_04-03,2.8813679722188463,5.8226363045401515,1.0,2.0,0.22946776648711156,21.36441135406494,3.531053379635256,0.22170461932481067,15.0,17.053223351288842,11.454235458374022,47.260216808622936,41.3301,9.893742621015344,25.952974486489705,13.121146714048926
73,zym,fixed,6.5,7.0,6.9,6.3,7.2,6.9,6.4,33.36,73_data_04-03,2.9379467829811325,5.767801022303733,1.0,1.0,0.2369322177433067,20.83330488204956,3.436755361698112,0.29024872212033426,20.0,16.306778225669333,11.666678047180177,51.70046035666795,42.5302,5.076741440377801,41.8427229795898,16.69896371203359
74,zym,fixed,6.8,7.0,6.9,6.7,7.2,7.5,7.2,31.21,74_data_04-03,3.006068023828624,5.830367876278839,1.0,2.0,0.25346045215212437,21.34253978729248,3.3232199602856265,0.21204015465145165,15.0,14.653954784787564,11.462984085083008,44.65219898480765,37.9311,0.0,16.619984789518465,2.9878245107743004
75,zym,fixed,6.3,7.0,6.9,6.3,6.8,6.8,6.3,33.85,75_data_04-03,2.855965927772018,5.780062117833818,2.0,2.0,0.24808874816644041,22.578850030899048,3.5733901203799694,0.27492235270772714,10.0,15.191125183355961,10.96845998764038,40.00789764408404,36.9289,6.233766233766235,0.0,0.0
76,zym,adaptive,4.2,2.6,3.1,3.6,3.1,3.8,3.5,66.23,76_data_04-03,2.695543004664293,4.789066435566747,0.0,0.0,0.24124759465940956,13.361576318740845,3.8407616588928444,1.513666955541566,30.0,15.875240534059046,14.655369472503663,65.88503862099712,66.0575,82.69185360094451,92.60331272249272,86.8400968315108
77,zym,adaptive,3.4,2.9,3.3,3.8,3.1,3.5,3.9,65.71,77_data_04-03,2.943909112742441,4.703465856932553,0.0,0.0,0.21420274332113143,14.7632474899292,3.426818145429265,1.6206676788343088,30.0,18.57972566788686,14.09470100402832,67.72191249617876,66.716,81.46399055489962,99.17670527953685,88.80326031219813
78,zym,adaptive,3.0,2.5,2.9,3.5,3.3,4.0,4.2,68.68,78_data_04-03,2.7293187053285255,4.472550205630192,0.0,0.0,0.2240752339512639,13.335707664489746,3.784468824452458,1.90931224296226,30.0,17.59247660487361,14.6657169342041,67.95197460649243,68.316,88.47697756788668,100.0,93.57328547408089
79,zym,adaptive,3.4,3.1,3.2,3.5,3.3,4.2,4.7,66.02,79_data_04-03,2.706901767026306,5.423611797446579,0.0,1.0,0.2602332826478697,17.857483386993408,3.8218303882894906,0.720485253191776,25.0,13.976671735213031,12.857006645202638,56.375994021896936,61.198,82.19598583234945,58.57447501247576,72.35263603515509
80,zym,adaptive,3.3,3.4,3.6,3.8,3.6,4.6,5.0,63.29,80_data_04-03,2.7106276973252244,5.382030756350009,0.0,1.0,0.26516266247117354,17.32201099395752,3.8156205044579594,0.7724615545624891,25.0,13.483733752882648,13.071195602416992,56.14301141432009,59.7165,75.74970484061393,57.740729070928786,67.9358908618243
81,zym,phase adaptive,3.1,3.9,3.3,3.3,2.9,3.8,3.3,66.37,81_data_04-03,2.793044599431568,4.8350007180644266,0.0,0.0,0.22290272476557083,13.643838167190552,3.6782590009473863,1.4562491024194668,30.0,17.70972752344292,14.54246473312378,67.38670035993356,66.8784,83.02243211334121,97.97712321176576,89.28741786612925
82,zym,phase adaptive,2.9,3.6,3.1,2.9,2.7,3.7,3.3,69.01,82_data_04-03,3.042600471690723,4.847970619230281,0.0,0.0,0.25311669398821457,15.900760412216187,3.262332547182128,1.4400367259621483,30.0,14.688330601178546,13.639695835113525,63.03039570943635,66.0202,89.25619834710744,82.38775643340517,86.7288956199244
83,zym,phase adaptive,2.9,3.2,3.4,3.1,2.6,3.1,3.0,68.44,83_data_04-03,2.7822888211333154,4.463867021982588,0.0,1.0,0.2555769600382829,13.752740383148193,3.696185298111141,1.9201662225217653,25.0,14.442303996171713,14.498903846740722,59.557559363545344,63.9988,87.91027154663517,69.95994802676924,80.70256508103083
84,zym,phase adaptive,2.6,3.0,3.3,3.0,2.8,2.8,3.0,69.82,84_data_04-03,2.9867293902183327,5.056706852962259,0.0,1.0,0.2200791851167569,17.051762342453003,3.355451016302779,1.179116433797176,25.0,17.992081488324313,13.179295063018799,60.70594400144307,65.263,91.16883116883115,74.06952960086305,84.47148121206341
85,zym,phase adaptive,2.2,2.7,3.0,2.5,2.7,2.6,2.5,73.56,85_data_04-03,2.809530853400247,4.841680818974227,0.0,0.0,0.2206996801295366,14.113205909729004,3.650781910999588,1.4478989762822159,30.0,17.93003198704634,14.354717636108399,67.38343051043654,70.4717,100.0,97.96542180720186,100.0
